iter	MAE	RMSE
0	6.664700591	18.46622431
1	6.544353884	18.31475542
2	6.430845648	18.05676871
3	6.376819273	18.01563291
4	6.282946713	17.74150473
5	6.205027766	17.58976067
6	6.119357491	17.44308429
7	6.031620462	17.26815316
8	5.965691172	17.18253371
9	5.891032953	17.02507489
10	5.829957204	16.8934594
11	5.782252804	16.85272847
12	5.73704204	16.79898906
13	5.691175558	16.73463261
14	5.638375767	16.62661347
15	5.603407572	16.4993718
16	5.580495147	16.47321106
17	5.546526383	16.3843061
18	5.5156725	16.25598848
19	5.494848129	16.21332129
20	5.481208085	16.18684526
21	5.470926727	16.1780122
22	5.458163381	16.15314824
23	5.447274043	16.14423752
24	5.419303256	16.07100188
25	5.413890191	16.06475167
26	5.406196719	16.05833539
27	5.39726268	16.04463787
28	5.389675498	16.02099825
29	5.37315551	15.95607857
30	5.355487216	15.92351056
31	5.341508393	15.8976146
32	5.331548442	15.87882332
33	5.329772979	15.87116316
34	5.328455503	15.84698593
35	5.329098607	15.84698507
36	5.324425109	15.84387148
37	5.325357252	15.83926931
38	5.325769894	15.8392689
39	5.31530707	15.7957302
40	5.310346255	15.78386368
41	5.311488396	15.77832014
42	5.294328237	15.64049925
43	5.270507408	15.49877023
44	5.271951098	15.48449866
45	5.264211435	15.46856928
46	5.267042403	15.45695221
47	5.265795978	15.42769968
48	5.272997948	15.41589116
49	5.277248912	15.40811043
50	5.277719753	15.40810899
51	5.276354501	15.40000927
52	5.276667649	15.40000865
53	5.259295043	15.27706868
54	5.262892321	15.27312515
55	5.246942281	15.23364458
56	5.236700452	15.21789555
57	5.233736046	15.21673466
58	5.217529	15.18817574
59	5.195444654	15.12233822
60	5.185796963	15.10015069
61	5.183626313	15.09526926
62	5.159972731	14.97761401
63	5.157149787	14.95151205
64	5.15313779	14.93205357
65	5.154251624	14.91768421
66	5.14490441	14.9062731
67	5.143106585	14.9059431
68	5.13616928	14.89220148
69	5.132376954	14.88776634
70	5.11969502	14.87347736
71	5.118194929	14.85361249
72	5.112034511	14.84112628
73	5.112673011	14.8344004
74	5.108617187	14.80659736
75	5.099214274	14.76713983
76	5.098654994	14.74524378
77	5.085794449	14.67892638
78	5.074995316	14.6462462
79	5.055926987	14.55295613
80	5.057115691	14.54468316
81	5.059964228	14.54153467
82	5.058930736	14.53978613
83	5.049709756	14.50971765
84	5.036906747	14.47870555
