iter	Passed	Remaining
0	53	26526
1	54	13672
2	56	9427
3	57	7114
4	58	5802
5	59	4923
6	60	4279
7	63	3875
8	64	3538
9	66	3271
10	68	3046
11	69	2836
12	70	2648
13	71	2491
14	72	2354
15	74	2240
16	75	2146
17	76	2042
18	77	1956
19	78	1872
20	79	1804
21	81	1761
22	83	1723
23	83	1661
24	86	1651
25	88	1612
26	90	1576
27	90	1532
28	92	1500
29	93	1464
30	94	1435
31	96	1406
32	97	1379
33	98	1354
34	100	1333
35	100	1297
36	103	1295
37	105	1277
38	105	1250
39	107	1239
40	109	1224
41	110	1205
42	111	1188
43	113	1174
44	114	1160
45	115	1144
46	116	1127
47	118	1118
48	119	1101
49	120	1088
50	121	1067
51	122	1051
52	122	1031
53	123	1020
54	124	1003
55	125	991
56	126	980
57	126	965
58	127	954
59	128	945
60	130	941
61	131	929
62	132	921
63	133	911
64	134	901
65	135	892
66	136	883
67	137	871
68	137	861
69	138	851
70	139	842
71	140	835
72	141	827
73	142	818
74	143	811
75	144	803
76	144	795
77	146	791
78	147	787
79	148	781
80	149	774
81	150	767
82	152	764
83	153	761
84	154	755
