id,item_name,price,amount,is_consumable,department_id,date_of_purchased,description,store_store_name,uom_name,quantity,source
00178296-6890-45e0-bd26-31e2ed755056,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
0098ef10-6a7d-4885-9348-8acef38b35df,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
017b5f07-2f35-4e89-a6ab-eb5e1294e1f4,Staff  Table,763.0,1.0,1,ICT Park TTA,2024-12-31,White MDF Table Dimension (1.20mx0.60m) with Drawer,Temporary Store,pcs,7.0,asset
0194271e-0102-4996-bd4f-5dab16a7c938,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
0243d95a-556c-4d52-80fe-f8f961a3d734,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
0257e9e1-2939-4b40-8ec9-cfdb5231e09d,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
02f8d2e7-726a-43e7-83f2-622f1c6cc518,Cafteria Chair,3400.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand colors Navy,Cycan,Dark Navy & Gray (Hex BFBFBF)",Temporary Store,pcs,40.0,asset
0387b75a-e453-4e7b-8cbf-2cb0264df968,Pick up truck,36000.0,1.0,1,HQ fleet,2025-01-04,Pick up truck,Temporary Store,pcs,2.0,asset
038a2a34-a7e8-475a-bb23-15a78eaa3d75,"Supply, Installation, and Commissioning of new Sto",37400.0,1.0,1,HQ Office Facility,2025-08-01,"Supply, Installation, and Commissioning of new Store compound  Electric Security Fence",Temporary Store,pcs,11.0,asset
03e1f429-2b74-46be-b6fb-4132e18d67bb,Meeting chair,1440.0,1.0,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0,asset
03e5d22e-0a5d-40b7-90aa-64e296044095,Cafteria  Table,400.0,1.0,1,ICT Park TTA,2024-12-31,Circular Gery  table with Radius =0.45m,Temporary Store,pcs,10.0,asset
0401eb19-7364-458b-b0f4-e37620173d3a,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
0408ba12-b47b-47a2-a408-dbe67acecc16,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
04aa2722-402b-4acd-9193-5195ecde96bb,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
05296a5f-6908-4a7e-9efa-4fbcd42f4af3,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
0574ce5b-85a5-46b6-b79c-0e6b2b6db54a,Meeting chair,1440.0,1.0,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0,asset
059bef73-e92a-454d-9427-6e9557b90f10,Cafteria Chair,3400.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand colors Navy,Cycan,Dark Navy & Gray (Hex BFBFBF)",Temporary Store,pcs,40.0,asset
0645d56d-a10d-492f-a895-e0120019e144,"Supply, Installation, and Commissioning of new Sto",37400.0,1.0,1,HQ Office Facility,2025-08-01,"Supply, Installation, and Commissioning of new Store compound  Electric Security Fence",Temporary Store,pcs,11.0,asset
0675eb84-8cd6-4d1d-a729-e91f4ce7aa98,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
069ab478-0a6f-4eb7-a656-8125da9faa0e,Managers Chair,260.0,1.0,1,ICT Park TTA,2024-12-31,Color with Dark Navy,Temporary Store,pcs,4.0,asset
06d4a506-c465-46e5-a82e-966bc8635717,Class Room Chair,1750.0,1.0,1,ICT Park TTA,2024-12-31,"Dimention(560mmD,610mmW,895mmH)
color :Navey",Temporary Store,pcs,70.0,asset
0730db84-d8cf-4b60-a4e5-42b192b8d7a5,Office Chair,3060.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0,asset
07778a47-fb22-4c3f-912f-06095048f133,Staff Chair,476.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,7.0,asset
0926dbd9-697f-4431-a467-14bca0b2410a,Managers Table,800.0,1.0,1,ICT Park TTA,2024-12-31,L - Shape Dimension (W1800*D1600*H750mm) cold rolled steel Metal color-standard gold white MDF,Temporary Store,pcs,4.0,asset
094a7afa-53f4-4bdd-b563-4f3670c620dc,Guest Chair,612.0,1.0,1,ICT Park TTA,2024-12-31,Guest Chair,Temporary Store,pcs,9.0,asset
098260ba-6787-4291-8bce-ecdf0ca908ba,Meeting chair,1440.0,1.0,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0,asset
099e6da7-1920-4735-a342-99efcb66e5f1,Staff Chair,476.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,7.0,asset
0a17ebee-519d-4735-8b46-c2224e5f3014,Class Room Chair,1750.0,1.0,1,ICT Park TTA,2024-12-31,"Dimention(560mmD,610mmW,895mmH)
color :Navey",Temporary Store,pcs,70.0,asset
0b84ec8a-21d8-4bc2-8d62-582f2e348717,Class Room Chair,1750.0,1.0,1,ICT Park TTA,2024-12-31,"Dimention(560mmD,610mmW,895mmH)
color :Navey",Temporary Store,pcs,70.0,asset
0c7a5d79-3167-4b57-9d0b-66d99e077ef1,Class Room Chair,1750.0,1.0,1,ICT Park TTA,2024-12-31,"Dimention(560mmD,610mmW,895mmH)
color :Navey",Temporary Store,pcs,70.0,asset
0d154d90-9433-4c9d-855e-299e0f4b133d,Class Room Chair,1750.0,1.0,1,ICT Park TTA,2024-12-31,"Dimention(560mmD,610mmW,895mmH)
color :Navey",Temporary Store,pcs,70.0,asset
0d5180cc-266d-455a-8b0e-c0fa34235956,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
0d721479-69a3-4dc9-977b-daa5b20558de,Cafteria Chair,3400.0,1.0,1,ICT Park TTA,2024-12-31,"Color use IE brand colors Navy,Cycan,Dark Navy & Gray (Hex BFBFBF)",Temporary Store,pcs,40.0,asset
0da36854-23a8-46f8-b586-cdad1764487f,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
0e909993-a7f3-4ef2-875f-2fd680c3e914,Meeting chair,1440.0,1.0,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0,asset
0f93b0a9-b8fe-4c24-8829-f288c6d80a3e,Office Table,4905.0,1.0,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0,asset
